#Seznam souøadnic podrobných bodù
#Souøadnicový systém: S-JTSK
#Výškový systém: BpV
#è.bodu-Y-X-Poznámka
  101 737282.266 1030718.470      
  102 737283.446 1030720.761      
  103 737284.637 1030722.868      
  104 737285.815 1030724.953      
  105 737287.019 1030727.081      
  106 737288.271 1030729.297      
  107 737289.474 1030731.425      
  108 737290.665 1030733.532      
  109 737292.014 1030735.716      
  110 737278.294 1030720.457      
  111 737276.536 1030721.451      
  112 737283.935 1030726.016      
  113 737282.224 1030726.983      
  114 737280.514 1030727.950      
  115 737279.047 1030728.779      
  116 737284.554 1030731.398      
  117 737282.926 1030732.318      
  118 737281.503 1030733.123      
  119 737289.142 1030737.340      
  120 737285.746 1030739.259      
  121 737273.889 1030722.947      
  122 737274.975 1030725.222      
  123 737276.173 1030727.342      
  124 737277.507 1030729.701      
  126 737279.846 1030733.841      
  127 737281.185 1030736.208      
  128 737282.932 1030739.299      
  129 737272.108 1030726.929      
  130 737274.825 1030731.734      
  131 737276.793 1030735.216      
  132 737278.919 1030738.977      
  133 737280.693 1030742.115      
  134 737264.639 1030731.151      
  135 737267.355 1030735.956      
  136 737269.324 1030739.438      
  137 737271.450 1030743.199      
  138 737273.224 1030746.337      
  139 737260.440 1030730.550      
  140 737261.665 1030732.717      
  142 737264.332 1030737.436      
  143 737266.399 1030741.092      
  144 737267.703 1030743.399      
  145 737269.049 1030745.780      
  146 737269.998 1030747.460      
  147 737265.824 1030750.520      
  148 737254.078 1030734.232      
  149 737256.064 1030737.744      
  150 737258.032 1030741.227      
  151 737260.000 1030744.709      
  152 737261.969 1030748.191      
  153 737264.196 1030751.440      
  154 737261.820 1030752.784      
  155 737252.850 1030742.220      
  156 737253.765 1030743.839      
  157 737247.549 1030737.922      
  158 737249.535 1030741.435      
  159 737250.674 1030743.450      
  160 737251.589 1030745.070      
  161 737253.717 1030748.835      
  162 737255.440 1030751.882      
  163 737257.425 1030755.394      
  164 737241.020 1030741.613      
  165 737243.005 1030745.126      
  166 737245.060 1030748.760      
  167 737246.856 1030751.938      
  168 737248.911 1030755.572      
  169 737250.896 1030759.085      
  170 737242.840 1030750.015      
  171 737244.636 1030753.193      
  172 737236.667 1030744.074      
  173 737238.653 1030747.586      
  174 737240.707 1030751.221      
  175 737242.503 1030754.398      
  176 737244.558 1030758.033      
  177 737246.543 1030761.545      
  178 737230.012 1030747.836      
  179 737231.468 1030750.412      
  180 737233.319 1030753.686      
  181 737234.052 1030754.983      
  182 737235.934 1030758.313      
  183 737238.272 1030762.448      
  184 737239.888 1030765.307      
  185 737228.173 1030752.275      
  186 737231.614 1030756.361      
  187 737232.594 1030760.390      
  188 737236.219 1030764.039      
