      301   737291,408   1030736,828                  
      302   737288,318   1030738,575                  
      303   737283,930   1030741,055                  
      304   737281,617   1030743,649                  
      305   737293,920   1030741,272                  
      306   737290,177   1030743,388                  
      307   737286,442   1030745,499                  
      308   737283,578   1030747,118                  
      309   737288,411   1030748,981                  
      310   737297,857   1030748,236                  
      311   737294,114   1030750,352                  
      312   737290,379   1030752,463                  
      313   737287,515   1030754,082                  
      314   737292,347   1030755,946                  
      315   737301,794   1030755,201                  
      316   737298,050   1030757,317                  
      317   737294,316   1030759,428                  
      318   737291,452   1030761,047                  
      319   737296,284   1030762,910                  
      320   737305,146   1030762,300                  
      321   737301,904   1030764,133                  
      322   737298,643   1030765,976                  
      323   737295,305   1030767,863                  
      324   737274,061   1030747,920                  
      325   737270,852   1030748,930                  
      326   737266,911   1030750,675                  
      327   737263,168   1030752,791                  
      328   737276,022   1030751,389                  
      329   737273,158   1030753,008                  
      330   737269,423   1030755,119                  
      331   737265,680   1030757,235                  
      332   737275,126   1030756,491                  
      333   737279,959   1030758,354                  
      334   737277,095   1030759,973                  
      335   737273,360   1030762,084                  
      336   737269,617   1030764,200                  
      337   737279,063   1030763,455                  
      338   737283,895   1030765,318                  
      339   737281,031   1030766,937                  
      340   737277,297   1030769,048                  
      341   737273,553   1030771,164                  
      342   737283,000   1030770,419                  
      343   737287,749   1030772,134                  
      344   737284,410   1030774,022                  
      345   737281,150   1030775,865                  
      346   737277,907   1030777,698                  
